Authority Key Identifier,Parent (Usable TLS),Parent (Active TLS),Parent (Test TLS),Parent (Usable BIMI)
0240679B07DB09C5D321206032EBBC57F3D88814,26ED3BDE1930D8C53CECD1B3D50B0D7BFD2F4439C9EDC8D708761ED6FE5DA0AB,26ED3BDE1930D8C53CECD1B3D50B0D7BFD2F4439C9EDC8D708761ED6FE5DA0AB,26ED3BDE1930D8C53CECD1B3D50B0D7BFD2F4439C9EDC8D708761ED6FE5DA0AB,
02430FE1287BC4D02F366B125A59C409CBEA6946,7109C8A0A805DA664733E6139DC10668B760D2E308756572B090A7F3FAE7FB9A,7109C8A0A805DA664733E6139DC10668B760D2E308756572B090A7F3FAE7FB9A,,
024593D80D4862AC69BAAE065B3EFBAA269150B1,2605875AFCC176B2D66DD66A995D7F8D5EBB86CE120D0E7E9E7C6EF294A27D4C,2605875AFCC176B2D66DD66A995D7F8D5EBB86CE120D0E7E9E7C6EF294A27D4C,2605875AFCC176B2D66DD66A995D7F8D5EBB86CE120D0E7E9E7C6EF294A27D4C,
024943CEA4C4DEC1E2D2E294E459EAD9298A9FA0,3DC272BDEE4E4604D498732C28C026963E3CB21DF198A29DB9428578B2447DA1,3DC272BDEE4E4604D498732C28C026963E3CB21DF198A29DB9428578B2447DA1,3DC272BDEE4E4604D498732C28C026963E3CB21DF198A29DB9428578B2447DA1,
024E5A6052E574A801000CD38EB56EFD97CC042B,D2B5D49BE954081CD12DB571B25D13746AADA095FC91D8749EC52838AF3D4B02,D2B5D49BE954081CD12DB571B25D13746AADA095FC91D8749EC52838AF3D4B02,,
0258D6072BD43DE4D1D189E0186C86980062A95E,018F50FAC1770E1D74E30F57107D12CA42A0F1748E39538FAE51C9A0D84EAA9C,018F50FAC1770E1D74E30F57107D12CA42A0F1748E39538FAE51C9A0D84EAA9C,018F50FAC1770E1D74E30F57107D12CA42A0F1748E39538FAE51C9A0D84EAA9C,
0263E60BCD99334BEB945D94DD7809A8F3DB2B52,A9A63E03F0D498EC7243026A7A8F2BE705D04F2845D49F63D889C9DD0B4A3944,A9A63E03F0D498EC7243026A7A8F2BE705D04F2845D49F63D889C9DD0B4A3944,A9A63E03F0D498EC7243026A7A8F2BE705D04F2845D49F63D889C9DD0B4A3944,
026664BD0B335D485CCC8E28561FF4AC1836A098,96C833BFA81D38AA08B403F6C0993D1BD020141A4070300E9C74A36909A54944,96C833BFA81D38AA08B403F6C0993D1BD020141A4070300E9C74A36909A54944,,
0281B7B666F892456DC271D29FEC2FD3BA1FB9FF,6EA1DB6719D6041A06FC0898E5B3CF349A8FA8ECEE85EDB005965628F617F7C8,6EA1DB6719D6041A06FC0898E5B3CF349A8FA8ECEE85EDB005965628F617F7C8,,
02883DDDA5F69731EF2253BDDEE29342C5626FB6,D2BB9489EFACF48AD6B342D339C042953058E8F5DA4226ED3E76CA70C172E053,D2BB9489EFACF48AD6B342D339C042953058E8F5DA4226ED3E76CA70C172E053,D2BB9489EFACF48AD6B342D339C042953058E8F5DA4226ED3E76CA70C172E053,
02891E36B30385A2D5E42403855EDE4E76746D41,8AEAC99EF365CD48C311CD09BFEA889BE99D5A8275A5B820EEC906243612A436,8AEAC99EF365CD48C311CD09BFEA889BE99D5A8275A5B820EEC906243612A436,8AEAC99EF365CD48C311CD09BFEA889BE99D5A8275A5B820EEC906243612A436,
028DDD1F6380C4FAFC5B8BC9067524DC8BBA9BE8,876C0C16A0B2EB4833630CC0B2090E0FFDBE1E2B4C1F0C72CFF22B94D8AB7A1A,876C0C16A0B2EB4833630CC0B2090E0FFDBE1E2B4C1F0C72CFF22B94D8AB7A1A,,
02946CFA726E53B81EC428118375254C9779FEBD,D2075EE0CB6C4152F74946DE8926C8ACFA1958198DD9A1874F50F23E9F76EF5F,D2075EE0CB6C4152F74946DE8926C8ACFA1958198DD9A1874F50F23E9F76EF5F,,
0297A6933BAEEC35001EB3D127AAD1F0AEB5B17F,7D9C0BAF36C0ACFA2D146DC2B35AC8F7EF37DCD0EA29EE00168C00377C640807,7D9C0BAF36C0ACFA2D146DC2B35AC8F7EF37DCD0EA29EE00168C00377C640807,7D9C0BAF36C0ACFA2D146DC2B35AC8F7EF37DCD0EA29EE00168C00377C640807,
02ADF6F21C7A8B1EDB13EF562488171B45274741,F5BCA13952115D00F5F4C61DF9A84B27AB0491D8FEDC9E227AF6BF8794900794,F5BCA13952115D00F5F4C61DF9A84B27AB0491D8FEDC9E227AF6BF8794900794,F5BCA13952115D00F5F4C61DF9A84B27AB0491D8FEDC9E227AF6BF8794900794,
02B14FF227F18A7FA47E79DEFC6066BCEEDFBE32,25640E60EAB2D51FFFC43776F087B00B3A73C8539AE8440A1CBD014873FE882C,25640E60EAB2D51FFFC43776F087B00B3A73C8539AE8440A1CBD014873FE882C,25640E60EAB2D51FFFC43776F087B00B3A73C8539AE8440A1CBD014873FE882C,
